noise_level,seed,strategy,grade,precision,recall,f1,support
0.35,7,fedavg,4,0.4935064935064935,0.38,0.4293785310734463,100
0.35,7,fedavg,5,0.5378787878787878,0.7171717171717171,0.6147186147186147,99
0.35,7,fedavg,high_grade_4_5,0.722488038277512,0.7587939698492462,0.7401960784313726,199
0.35,7,ordinal_harm_blend_50,0,0.6460176991150443,0.7227722772277227,0.6822429906542056,101
0.35,7,ordinal_harm_blend_50,1,0.4387755102040816,0.42574257425742573,0.4321608040201005,101
0.35,7,ordinal_harm_blend_50,2,0.42528735632183906,0.37373737373737376,0.3978494623655914,99
0.35,7,ordinal_harm_blend_50,3,0.45652173913043476,0.4158415841584158,0.43523316062176165,101
0.35,7,ordinal_harm_blend_50,4,0.4888888888888889,0.44,0.4631578947368421,100
0.35,7,ordinal_harm_blend_50,5,0.5619834710743802,0.6868686868686869,0.6181818181818182,99
0.35,7,ordinal_harm_blend_50,high_grade_4_5,0.7251184834123223,0.7688442211055276,0.7463414634146341,199
0.35,42,adaptive_ordinal_harm,0,0.5364238410596026,0.801980198019802,0.6428571428571429,101
0.35,42,adaptive_ordinal_harm,1,0.42857142857142855,0.30303030303030304,0.35502958579881655,99
0.35,42,adaptive_ordinal_harm,2,0.40298507462686567,0.2727272727272727,0.3253012048192771,99
0.35,42,adaptive_ordinal_harm,3,0.358695652173913,0.33,0.34375,100
0.35,42,adaptive_ordinal_harm,4,0.463768115942029,0.31683168316831684,0.3764705882352941,101
0.35,42,adaptive_ordinal_harm,5,0.48026315789473684,0.7227722772277227,0.5770750988142292,101
0.35,42,adaptive_ordinal_harm,high_grade_4_5,0.6561085972850679,0.7178217821782178,0.6855791962174941,202
0.35,42,cross_site_blend_50,0,0.5531914893617021,0.7722772277227723,0.6446280991735537,101
0.35,42,cross_site_blend_50,1,0.4153846153846154,0.2727272727272727,0.32926829268292684,99
0.35,42,cross_site_blend_50,2,0.43956043956043955,0.40404040404040403,0.42105263157894735,99
0.35,42,cross_site_blend_50,3,0.3974358974358974,0.31,0.34831460674157305,100
0.35,42,cross_site_blend_50,4,0.4444444444444444,0.3564356435643564,0.3956043956043956,101
0.35,42,cross_site_blend_50,5,0.5103448275862069,0.7326732673267327,0.6016260162601627,101
